
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	A Coral
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	4.00	
Ch 2	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	mg/l (ppm)	ON	XB6-538-214	3	ON External	20.000	ON	1013	0.000	15%	200x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.100	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.827	1013	100.000	20.950	53.000	21.763	0.817	0.106	4000	0.799	-0.043	1.279	0.000	-0.000301	-0.100	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.833	1013	100.000	20.950	53.000	21.385	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	-0.100	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.835	1014	100.000	20.950	53.800	21.928	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.100	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.843	1013	100.000	20.950	53.000	21.658	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	-0.100	
Data	Smoothing:	3	
Date:	17/06/2023	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
17/06/2023	12:16:47	0.00		8.4928	8.4702	8.5192	8.4690	22.686	22.686	22.686	22.686	1008.27	---	22.686	---	---	21.934	21.585	22.083	21.861	678.048	242.463	243.468	814.660	5.440	6.439	6.149	7.118	
17/06/2023	12:16:49	2.00		8.4937	8.4726	8.5178	8.4698	22.687	22.687	22.687	22.687	1008.26	---	22.687	---	---	21.932	21.581	22.085	21.860	678.022	242.462	243.464	814.618	5.457	6.432	6.158	7.048	
17/06/2023	12:16:51	4.00		8.4932	8.4689	8.5188	8.4711	22.688	22.688	22.688	22.688	1008.24	---	22.688	---	---	21.933	21.586	22.083	21.858	678.003	242.498	243.459	814.566	5.475	6.403	6.177	7.070	
17/06/2023	12:16:53	6.00		8.4939	8.4670	8.5199	8.4720	22.689	22.689	22.689	22.689	1008.22	---	22.689	---	---	21.931	21.588	22.081	21.856	677.940	242.519	243.459	814.513	5.475	6.374	6.185	6.962	
17/06/2023	12:16:55	8.00		8.4958	8.4689	8.5183	8.4722	22.692	22.692	22.692	22.692	1008.20	---	22.692	---	---	21.928	21.585	22.083	21.855	677.930	242.473	243.451	814.442	5.501	6.371	6.174	7.017	
17/06/2023	12:16:57	10.00		8.4958	8.4742	8.5175	8.4731	22.691	22.691	22.691	22.691	1008.22	---	22.691	---	---	21.928	21.578	22.084	21.854	677.915	242.399	243.448	814.332	5.504	6.405	6.175	7.014	
17/06/2023	12:16:59	12.00		8.4963	8.4785	8.5173	8.4737	22.692	22.692	22.692	22.692	1008.24	---	22.692	---	---	21.927	21.572	22.084	21.853	677.907	242.303	243.431	814.249	5.506	6.424	6.176	6.979	
17/06/2023	12:17:01	14.00		8.4956	8.4762	8.5195	8.4729	22.693	22.693	22.693	22.693	1008.26	---	22.693	---	---	21.928	21.575	22.081	21.854	677.867	242.313	243.394	814.178	5.492	6.425	6.183	6.865	
17/06/2023	12:17:03	16.00		8.4972	8.4771	8.5211	8.4736	22.692	22.692	22.692	22.692	1008.26	---	22.692	---	---	21.926	21.574	22.079	21.853	677.851	242.290	243.383	814.138	5.498	6.461	6.164	6.933	
17/06/2023	12:17:05	18.00		8.4977	8.4799	8.5201	8.4751	22.692	22.692	22.692	22.692	1008.27	---	22.692	---	---	21.925	21.570	22.080	21.851	677.805	242.273	243.382	814.114	5.516	6.406	6.147	7.004	
17/06/2023	12:17:07	20.00		8.4980	8.4814	8.5206	8.4783	22.691	22.691	22.691	22.691	1008.27	---	22.691	---	---	21.925	21.568	22.080	21.847	677.798	242.262	243.393	814.107	5.512	6.413	6.140	7.033	
17/06/2023	12:17:09	22.00		8.4995	8.4796	8.5211	8.4760	22.691	22.691	22.691	22.691	1008.25	---	22.691	---	---	21.923	21.571	22.079	21.850	677.767	242.277	243.379	814.101	5.505	6.394	6.160	6.960	
17/06/2023	12:17:11	24.00		8.5013	8.4729	8.5244	8.4757	22.692	22.692	22.692	22.692	1008.21	---	22.692	---	---	21.921	21.579	22.074	21.850	677.747	242.308	243.341	814.100	5.497	6.443	6.171	6.921	
