
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	B Coral
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.100	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.677	1014	100.000	20.950	53.000	21.656	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	0.100	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.682	1014	100.000	20.950	53.000	21.788	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	0.100	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.686	1014	100.000	20.950	53.000	21.643	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	0.100	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.688	1014	100.000	20.950	53.000	21.742	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	0.100	
Data	Smoothing:	3	
Date:	17/06/2023	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
17/06/2023	12:17:01	0.00		8.5257	8.5449	8.5436	8.5410	22.587	22.587	22.587	22.587	1008.77	---	22.587	---	---	21.812	21.919	21.775	21.878	515.739	756.794	603.474	1008.410	5.217	5.552	5.604	6.094	
17/06/2023	12:17:03	2.00		8.5282	8.5442	8.5436	8.5403	22.587	22.587	22.587	22.587	1008.81	---	22.587	---	---	21.809	21.920	21.775	21.879	515.704	756.830	603.481	1008.435	5.204	5.577	5.647	6.091	
17/06/2023	12:17:05	4.00		8.5320	8.5442	8.5426	8.5388	22.588	22.588	22.588	22.588	1008.83	---	22.588	---	---	21.803	21.920	21.776	21.881	515.626	756.768	603.501	1008.434	5.146	5.531	5.597	6.053	
17/06/2023	12:17:07	6.00		8.5357	8.5456	8.5425	8.5394	22.589	22.589	22.589	22.589	1008.80	---	22.589	---	---	21.798	21.918	21.776	21.880	515.576	756.705	603.465	1008.445	5.176	5.547	5.625	6.104	
17/06/2023	12:17:09	8.02		8.5369	8.5474	8.5422	8.5387	22.589	22.589	22.589	22.589	1008.75	---	22.589	---	---	21.797	21.915	21.777	21.881	515.560	756.644	603.434	1008.520	5.209	5.522	5.568	6.100	
17/06/2023	12:17:11	10.00		8.5351	8.5490	8.5424	8.5401	22.591	22.591	22.591	22.591	1008.73	---	22.591	---	---	21.799	21.913	21.776	21.879	515.560	756.582	603.393	1008.549	5.273	5.583	5.576	6.094	
17/06/2023	12:17:13	12.00		8.5347	8.5482	8.5436	8.5392	22.593	22.593	22.593	22.593	1008.73	---	22.593	---	---	21.798	21.913	21.774	21.879	515.535	756.595	603.386	1008.538	5.222	5.566	5.543	6.062	
17/06/2023	12:17:15	14.00		8.5337	8.5474	8.5456	8.5393	22.594	22.594	22.594	22.594	1008.76	---	22.594	---	---	21.799	21.914	21.771	21.879	515.502	756.579	603.390	1008.416	5.255	5.605	5.611	6.097	
17/06/2023	12:17:17	16.00		8.5336	8.5484	8.5488	8.5401	22.594	22.594	22.594	22.594	1008.75	---	22.594	---	---	21.800	21.913	21.767	21.878	515.496	756.517	603.351	1008.305	5.231	5.552	5.619	6.091	
17/06/2023	12:17:19	18.00		8.5334	8.5497	8.5483	8.5422	22.595	22.595	22.595	22.595	1008.75	---	22.595	---	---	21.800	21.911	21.767	21.875	515.518	756.507	603.335	1008.215	5.322	5.613	5.664	6.114	
17/06/2023	12:17:21	20.00		8.5343	8.5523	8.5477	8.5443	22.595	22.595	22.595	22.595	1008.75	---	22.595	---	---	21.798	21.907	21.768	21.872	515.509	756.464	603.275	1008.127	5.265	5.576	5.617	6.066	
17/06/2023	12:17:23	22.00		8.5318	8.5525	8.5441	8.5438	22.595	22.595	22.595	22.595	1008.77	---	22.595	---	---	21.802	21.907	21.772	21.872	515.551	756.491	603.281	1008.128	5.244	5.576	5.604	6.123	
17/06/2023	12:17:25	24.00		8.5311	8.5542	8.5471	8.5427	22.597	22.597	22.597	22.597	1008.75	---	22.597	---	---	21.802	21.904	21.768	21.873	515.557	756.411	603.230	1008.097	5.178	5.542	5.583	6.130	
17/06/2023	12:17:27	26.00		8.5285	8.5533	8.5505	8.5421	22.595	22.595	22.595	22.595	1008.72	---	22.595	---	---	21.806	21.906	21.764	21.875	515.580	756.362	603.215	1008.163	5.190	5.549	5.577	6.186	
17/06/2023	12:17:29	28.00		8.5297	8.5517	8.5532	8.5423	22.594	22.594	22.594	22.594	1008.72	---	22.594	---	---	21.805	21.908	21.761	21.875	515.544	756.335	603.185	1008.171	5.168	5.538	5.591	6.121	
17/06/2023	12:17:31	30.00		8.5309	8.5522	8.5511	8.5433	22.591	22.591	22.591	22.591	1008.75	---	22.591	---	---	21.804	21.908	21.764	21.874	515.430	756.246	603.193	1008.147	5.177	5.547	5.574	6.080	
