
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.319	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	C Coral
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot / FTC (normal range, fast)	mg/l (ppm)	ON	WE7-530-200	3	ON External	20.000	ON	1013	0.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.050	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.709	1012	100.000	20.950	53.000	21.642	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	-0.050	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.713	1012	100.000	20.950	53.000	21.523	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	-0.050	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.714	1012	100.000	20.950	53.000	21.605	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	-0.050	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.718	1012	100.000	20.950	53.000	21.659	0.817	0.106	4000	0.799	-0.043	0.811	0.000	-0.000301	-0.050	
Data	Smoothing:	3	
Date:	17/06/2023	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
17/06/2023	12:17:22	0.00		8.5409	8.5501	8.5569	8.5462	22.589	22.589	22.589	22.589	1006.71	76.572	22.589	---	---	21.757	21.626	21.699	21.767	312.544	357.581	187.930	278.694	5.007	6.435	7.086	5.279	
17/06/2023	12:17:24	2.00		8.5402	8.5448	8.5569	8.5450	22.596	22.596	22.596	22.596	1006.64	76.572	22.596	---	---	21.756	21.631	21.697	21.767	312.541	357.598	187.919	278.703	5.001	6.440	7.116	5.278	
17/06/2023	12:17:26	4.00		8.5418	8.5458	8.5539	8.5458	22.589	22.589	22.589	22.589	1006.64	76.572	22.589	---	---	21.756	21.632	21.703	21.768	312.554	357.617	187.918	278.706	4.998	6.433	7.094	5.278	
17/06/2023	12:17:28	6.00		8.5415	8.5474	8.5534	8.5446	22.589	22.589	22.589	22.589	1006.62	76.572	22.589	---	---	21.756	21.630	21.704	21.770	312.538	357.590	187.929	278.701	4.996	6.407	7.118	5.265	
17/06/2023	12:17:30	8.00		8.5439	8.5536	8.5509	8.5462	22.588	22.588	22.588	22.588	1006.68	76.562	22.588	---	---	21.753	21.621	21.708	21.768	312.510	357.535	187.923	278.681	4.988	6.411	7.099	5.231	
17/06/2023	12:17:32	10.00		8.5395	8.5552	8.5528	8.5460	22.595	22.595	22.595	22.595	1006.65	76.562	22.595	---	---	21.757	21.617	21.703	21.766	312.504	357.510	187.927	278.675	4.979	6.412	7.096	5.232	
17/06/2023	12:17:34	12.00		8.5416	8.5556	8.5529	8.5502	22.589	22.589	22.589	22.589	1006.67	76.552	22.589	---	---	21.756	21.618	21.705	21.762	312.482	357.535	187.926	278.653	4.994	6.422	7.055	5.228	
17/06/2023	12:17:36	14.00		8.5421	8.5548	8.5558	8.5540	22.583	22.583	22.583	22.583	1006.60	76.552	22.583	---	---	21.757	21.621	21.702	21.759	312.474	357.538	187.944	278.644	5.007	6.401	7.076	5.241	
17/06/2023	12:17:38	16.00		8.5451	8.5550	8.5550	8.5540	22.583	22.583	22.583	22.583	1006.65	76.542	22.583	---	---	21.753	21.621	21.703	21.759	312.457	357.549	187.949	278.647	5.007	6.405	7.065	5.236	
17/06/2023	12:17:40	18.00		8.5445	8.5537	8.5575	8.5511	22.589	22.589	22.589	22.589	1006.62	76.542	22.589	---	---	21.752	21.621	21.698	21.761	312.456	357.503	187.953	278.658	4.999	6.405	7.045	5.274	
17/06/2023	12:17:42	20.00		8.5435	8.5529	8.5567	8.5491	22.595	22.595	22.595	22.595	1006.61	76.542	22.595	---	---	21.752	21.620	21.697	21.762	312.446	357.474	187.927	278.677	4.993	6.420	7.021	5.307	
17/06/2023	12:17:44	22.00		8.5454	8.5528	8.5563	8.5477	22.596	22.596	22.596	22.596	1006.59	76.542	22.596	---	---	21.749	21.620	21.698	21.764	312.419	357.457	187.902	278.642	4.999	6.434	7.040	5.307	
17/06/2023	12:17:46	24.00		8.5449	8.5520	8.5502	8.5467	22.610	22.610	22.610	22.610	1006.58	76.542	22.610	---	---	21.746	21.617	21.702	21.761	312.392	357.413	187.904	278.625	5.001	6.448	7.087	5.261	
