"Chamber.No","Ind","Mass","Length","Ch.Volume","DO.unit","Temp.class","Date.Time","Temp","Slope.with.BR","BR.Slope"
"A1",146,1.89,74,710,"mg O2",23,2023-08-19 18:07:00,22.74284989,-0.0005529767629,-8.5561e-05
"A2",152,2.06,76,710,"mg O2",23,2023-08-19 18:07:00,22.74284989,-0.0003131191429,-5.239e-05
"A3",147,1.78,74,710,"mg O2",23,2023-08-19 18:07:00,22.74284989,-0.0005213927004,-6.1834e-05
"A4",145,1.56,73,710,"mg O2",23,2023-08-19 18:07:00,22.74284989,-0.0003654890831,-6.8586e-05
"B1",151,2.36,82,710,"mg O2",23,2023-08-19 18:07:00,22.55244166,-0.0003675359587,-6.7433e-05
"C2",155,1.82,72,710,"mg O2",23,2023-08-19 18:07:00,22.61538347,-0.0004141054003,-4.1739e-05
"C3",157,2.34,83,710,"mg O2",23,2023-08-19 18:07:00,22.61538347,-0.0003737331443,-4.1203e-05
"C4",154,2.73,83,710,"mg O2",23,2023-08-19 18:07:00,22.61538347,-0.0003727856423,-4.3307e-05
"D2",153,3.88,88,710,"mg O2",23,2023-08-19 18:07:00,23.07350839,-0.0006104107304,-3.3075e-05
"A1",146,1.89,74,710,"mg O2",23,2023-08-19 18:32:00,22.54210008,-0.0004924044177,-8.51573157894737e-05
"A2",152,2.06,76,710,"mg O2",23,2023-08-19 18:32:00,22.54210008,-0.000319690801,-5.22833684210526e-05
"A3",147,1.78,74,710,"mg O2",23,2023-08-19 18:32:00,22.54210008,-0.0005722540646,-6.17410263157895e-05
"A4",145,1.56,73,710,"mg O2",23,2023-08-19 18:32:00,22.54210008,-0.0004644060053,-6.86122105263158e-05
"B1",151,2.36,82,710,"mg O2",23,2023-08-19 18:32:00,22.37329992,-0.0003473708095,-6.73987105263158e-05
"C2",155,1.82,72,710,"mg O2",23,2023-08-19 18:32:00,22.4288332,-0.000422228204,-4.16595526315789e-05
"C3",157,2.34,83,710,"mg O2",23,2023-08-19 18:32:00,22.4288332,-0.000579710494,-4.11617105263158e-05
"C4",154,2.73,83,710,"mg O2",23,2023-08-19 18:32:00,22.4288332,-0.0003768298095,-4.32332368421053e-05
"D2",153,3.88,88,710,"mg O2",23,2023-08-19 18:32:00,22.87875005,-0.0004454360634,-3.30977631578947e-05
"A1",146,1.89,74,710,"mg O2",23,2023-08-19 18:57:00,22.40101663,-0.0002911798019,-8.47536315789474e-05
"A2",152,2.06,76,710,"mg O2",23,2023-08-19 18:57:00,22.40101663,-0.0003093910103,-5.21767368421053e-05
"A3",147,1.78,74,710,"mg O2",23,2023-08-19 18:57:00,22.40101663,-0.0005037544548,-6.16480526315789e-05
"A4",145,1.56,73,710,"mg O2",23,2023-08-19 18:57:00,22.40101663,-0.0003858215133,-6.86384210526316e-05
"B1",151,2.36,82,710,"mg O2",23,2023-08-19 18:57:00,22.22141666,-0.000320166747,-6.73644210526316e-05
"C2",155,1.82,72,710,"mg O2",23,2023-08-19 18:57:00,22.29237477,-0.0003854671902,-4.15801052631579e-05
"C3",157,2.34,83,710,"mg O2",23,2023-08-19 18:57:00,22.29237477,-0.0005254318351,-4.11204210526316e-05
"C4",154,2.73,83,710,"mg O2",23,2023-08-19 18:57:00,22.29237477,-0.0004210092102,-4.31594736842105e-05
