"chamber_ch","ID_fish","mass","volume_ch","DOunit","Temp_class","dateTime","Temp","slope_wBR","BRSlope","Time","Date","volume_net","MMR_wBR","BR","AMR","BR_perc","MMR_chase"
"A1",124,9.04,710,"mg O2",23,2023-09-17 14:44:00,22.83438875,-0.001575165492,-4.6362e-05,14:44:00,2023-09-17,700.96,3.97486081178035,0.118501272,3.85635953978035,2.98126846728308,3.68367909473606
"A2",128,9.38,710,"mg O2",23,2023-09-17 14:33:00,22.82972226,-0.001538979419,-1.8745e-05,14:33:00,2023-09-17,700.62,3.88166313794321,0.04791222,3.83375091794321,1.23432194647852,3.46864043954729
"A3",122,5.58,710,"mg O2",23,2023-09-17 14:38:00,22.86878897,-0.00119333743,-2.8761e-05,14:38:00,2023-09-17,704.42,3.02619870878616,0.073513116,2.95268559278616,2.42922303107739,NA
"A4",121,3.69,710,"mg O2",23,2023-09-17 14:42:00,22.84934442,-0.0008241103226,-3.4323e-05,14:42:00,2023-09-17,706.31,2.09547850304018,0.087729588,2.00774891504018,4.18661360031703,2.099982609115
"B1",127,8.3,710,"mg O2",23,2023-09-17 14:56:00,22.50959983,-0.001293220063,-2.5698e-05,14:56:00,2023-09-17,701.7,3.26682906554556,0.065684088,3.20114497754556,2.01063743104143,1.86613930816862
"B2",123,1.79,710,"mg O2",23,2023-09-17 14:43:00,22.71472227,-0.0003895913362,-2.9617e-05,14:43:00,2023-09-17,708.21,0.993284928756727,0.075701052,0.917583876756727,7.62128265600016,1.03028386360325
"B3",125,4.42,710,"mg O2",23,2023-09-17 14:46:00,22.64251111,-0.0009014576111,-2.9487e-05,14:46:00,2023-09-17,705.58,2.28978166046378,0.075368772,2.21441288846378,3.29152658095509,1.89368480481777
"B4",126,5.42,710,"mg O2",23,2023-09-17 14:56:00,22.50958875,-0.001025393986,-3.0103e-05,14:56:00,2023-09-17,704.58,2.60089954076117,0.076943268,2.52395627276117,2.95833294574238,2.51297302209098
"C1",115,5.51,710,"mg O2",23,2023-09-17 14:22:00,22.47045561,-0.001090324834,-2.2932e-05,14:22:00,2023-09-17,704.49,2.76524259229678,0.058614192,2.70662840029678,2.11967630483067,2.64100753459699
"C2",116,7.24,710,"mg O2",23,2023-09-17 14:29:00,22.46029973,-0.001416669689,-2.4765e-05,14:29:00,2023-09-17,702.76,3.5840836463099,0.06329934,3.5207843063099,1.76612340130989,2.53227162829306
"C3",117,3.25,710,"mg O2",23,2023-09-17 14:22:00,22.47045561,-0.0009188400503,-2.0501e-05,14:22:00,2023-09-17,706.75,2.33780473997829,0.052400556,2.28540418397829,2.24144279904602,1.66893794562105
"C4",114,3.09,710,"mg O2",23,2023-09-17 14:23:00,22.48198903,-0.001039664705,-1.1746e-05,14:23:00,2023-09-17,706.91,2.64581775580158,0.030022776,2.61579497980158,1.13472577369201,1.5674526366162
"D2",119,7.05,710,"mg O2",23,2023-09-17 14:36:00,22.93093338,-0.001126635286,-1.7195e-05,14:36:00,2023-09-17,702.95,2.85108578745732,0.04395042,2.80713536745732,1.54153270986617,2.13183078565316
