Date,Fish_Num,Rack,Bin,Rack_Bin,Mass_g,Length_mm,TagID,Month
5/04/2023,1,1,6,1.6,0.946,60,YL,0
2/05/2023,1,1,6,1.6,1.05,63,YL,1
27/05/2023,1,1,6,1.6,1.65,69,YL,2
20/06/2023,1,1,6,1.6,2.66,78,YL,3
5/04/2023,2,1,6,1.6,1.879,79,YR,0
2/05/2023,2,1,6,1.6,2.51,78,YR,1
27/05/2023,2,1,6,1.6,3.18,84,YR,2
20/06/2023,2,1,6,1.6,4.74,93,YR,3
5/04/2023,3,1,6,1.6,2.035,76,BrL,0
2/05/2023,3,1,6,1.6,1.81,74,BrL,1
27/05/2023,3,1,6,1.6,2.29,77,BrL,2
20/06/2023,3,1,6,1.6,2.73,81,BrL,3
5/04/2023,4,1,6,1.6,1.76,77,BrR,0
2/05/2023,4,1,6,1.6,1.63,77,BrR,1
27/05/2023,4,1,6,1.6,2.12,79,BrR,2
20/06/2023,4,1,6,1.6,2.56,84,BrR,3
5/04/2023,5,1,6,1.6,1.235,65,RL,0
2/05/2023,5,1,6,1.6,1.13,64,RL,1
27/05/2023,5,1,6,1.6,1.23,68,RL,2
20/06/2023,5,1,6,1.6,2.47,76,RL,3
5/04/2023,6,1,6,1.6,1.382,67,RR,0
2/05/2023,6,1,6,1.6,1.3,68,RR,1
27/05/2023,6,1,6,1.6,2.46,79,RR,2
20/06/2023,6,1,6,1.6,4.38,90,RR,3
5/04/2023,7,1,6,1.6,1.899,71,BL,0
2/05/2023,7,1,6,1.6,1.51,69,BL,1
27/05/2023,7,1,6,1.6,1.72,72,BL,2
20/06/2023,7,1,6,1.6,3.07,80,BL,3
5/04/2023,8,1,6,1.6,1.977,76,BR,0
2/05/2023,8,1,6,1.6,2.38,76,BR,1
27/05/2023,8,1,6,1.6,3.01,80,BR,2
20/06/2023,8,1,6,1.6,4.02,90,BR,3
5/04/2023,9,1,7,1.7,1.182,68,YL,0
3/05/2023,9,1,7,1.7,1.57,67,YL,1
27/05/2023,9,1,7,1.7,1.56,69,YL,2
20/06/2023,9,1,7,1.7,2.39,77,YL,3
5/04/2023,10,1,7,1.7,1.039,61,YR,0
3/05/2023,10,1,7,1.7,1.11,61,YR,1
27/05/2023,10,1,7,1.7,1.33,67,YR,2
20/06/2023,10,1,7,1.7,2.01,71,YR,3
5/04/2023,11,1,7,1.7,2.325,77,BrL,0
3/05/2023,11,1,7,1.7,2.42,78,BrL,1
27/05/2023,11,1,7,1.7,2.92,80,BrL,2
20/06/2023,11,1,7,1.7,3.37,84,BrL,3
5/04/2023,12,1,7,1.7,1.086,64,BrR,0
3/05/2023,12,1,7,1.7,1.36,64,BrR,1
27/05/2023,12,1,7,1.7,2.26,74,BrR,2
20/06/2023,12,1,7,1.7,2.79,78,BrR,3
5/04/2023,13,1,7,1.7,0.65,55,RL,0
3/05/2023,13,1,7,1.7,0.85,57,RL,1
27/05/2023,13,1,7,1.7,1.28,63,RL,2
20/06/2023,13,1,7,1.7,1.95,72,RL,3
5/04/2023,14,1,7,1.7,1.747,74,RR,0
3/05/2023,14,1,7,1.7,1.87,74,RR,1
27/05/2023,14,1,7,1.7,2.04,75,RR,2
20/06/2023,14,1,7,1.7,2.47,79,RR,3
5/04/2023,15,1,7,1.7,1.342,67,BL,0
3/05/2023,15,1,7,1.7,1.55,68,BL,1
27/05/2023,15,1,7,1.7,1.76,72,BL,2
20/06/2023,15,1,7,1.7,2.18,76,BL,3
5/04/2023,16,1,7,1.7,1.801,74,BR,0
3/05/2023,16,1,7,1.7,2.19,76,BR,1
27/05/2023,16,1,7,1.7,2.6,80,BR,2
20/06/2023,16,1,7,1.7,3.02,79,BR,3
5/04/2023,17,1,8,1.8,2.049,77,YL,0
2/05/2023,17,1,8,1.8,2.06,76,YL,1
28/05/2023,17,1,8,1.8,2.14,79,YL,2
21/06/2023,17,1,8,1.8,2.78,85,YL,3
5/04/2023,18,1,8,1.8,0.835,64,YR,0
2/05/2023,18,1,8,1.8,1.85,69,YR,1
28/05/2023,18,1,8,1.8,3.12,83,YR,2
21/06/2023,18,1,8,1.8,4.79,93,YR,3
5/04/2023,19,1,8,1.8,0.571,54,BrL,0
7/05/2023,19,1,8,1.8,0.83,60,BrL,1
28/05/2023,19,1,8,1.8,0.95,64,BrL,2
5/04/2023,20,1,8,1.8,2.225,76,BrR,0
2/05/2023,20,1,8,1.8,2.31,76,BrR,1
28/05/2023,20,1,8,1.8,2.86,79,BrR,2
21/06/2023,20,1,8,1.8,3.47,85,BrR,3
5/04/2023,21,1,8,1.8,1.627,70,RL,0
2/05/2023,21,1,8,1.8,1.82,71,RL,1
28/05/2023,21,1,8,1.8,1.84,76,RL,2
21/06/2023,21,1,8,1.8,2.42,84,RL,3
5/04/2023,22,1,8,1.8,2.588,78,RR,0
2/05/2023,22,1,8,1.8,2.6,79,RR,1
28/05/2023,22,1,8,1.8,2.89,84,RR,2
21/06/2023,22,1,8,1.8,3.34,88,RR,3
5/04/2023,23,1,8,1.8,2.188,76,BL,0
2/05/2023,23,1,8,1.8,2.02,78,BL,1
28/05/2023,23,1,8,1.8,2.6,81,BL,2
21/06/2023,23,1,8,1.8,3.46,88,BL,3
5/04/2023,24,1,8,1.8,1.443,70,BR,0
2/05/2023,24,1,8,1.8,1.34,68,BR,1
28/05/2023,24,1,8,1.8,1.55,71,BR,2
21/06/2023,24,1,8,1.8,2.1,78,BR,3
5/04/2023,25,1,9,1.9,2.116,75,YL,0
3/05/2023,25,1,9,1.9,1.82,74,YL,1
28/05/2023,25,1,9,1.9,2.28,71,YL,2
21/06/2023,25,1,9,1.9,2.71,79,YL,3
5/04/2023,26,1,9,1.9,1.071,62,YR,0
7/05/2023,26,1,9,1.9,1.2,63,YR,1
28/05/2023,26,1,9,1.9,1.34,66,YR,2
5/04/2023,27,1,9,1.9,0.938,60,BrL,0
3/05/2023,27,1,9,1.9,1.4,66,BrL,1
28/05/2023,27,1,9,1.9,3.08,82,BrL,2
21/06/2023,27,1,9,1.9,4.19,89,BrL,3
5/04/2023,28,1,9,1.9,2.681,85,BrR,0
3/05/2023,28,1,9,1.9,2.94,82,BrR,1
28/05/2023,28,1,9,1.9,4.26,91,BrR,2
21/06/2023,28,1,9,1.9,5.56,97,BrR,3
5/04/2023,29,1,9,1.9,1.092,61,RL,0
3/05/2023,29,1,9,1.9,1.16,60,RL,1
28/05/2023,29,1,9,1.9,1.52,67,RL,2
21/06/2023,29,1,9,1.9,2.77,77,RL,3
5/04/2023,30,1,9,1.9,2.183,77,RR,0
3/05/2023,30,1,9,1.9,2.45,77,RR,1
21/06/2023,30,1,9,1.9,3.16,80,RR,3
5/04/2023,31,1,9,1.9,1.768,72,BL,0
3/05/2023,31,1,9,1.9,2.05,74,BL,1
28/05/2023,31,1,9,1.9,3.31,80,BL,2
21/06/2023,31,1,9,1.9,4.19,85,BL,3
5/04/2023,32,1,9,1.9,1.125,61,BR,0
3/05/2023,32,1,9,1.9,0.79,59,BR,1
28/05/2023,32,1,9,1.9,1.04,67,BR,2
24/06/2023,32,1,9,1.9,1.66,74,BR,3
5/04/2023,33,1,10,1.1,1.778,72,YL,0
4/05/2023,33,1,10,1.1,1.64,71,YL,1
29/05/2023,33,1,10,1.1,2.17,75,YL,2
22/06/2023,33,1,10,1.1,2.62,79,YL,3
5/04/2023,34,1,10,1.1,0.615,58,YR,0
4/05/2023,34,1,10,1.1,0.81,59,YR,1
29/05/2023,34,1,10,1.1,1.91,75,YR,2
22/06/2023,34,1,10,1.1,4.83,93,YR,3
5/04/2023,35,1,10,1.1,2.683,84,BrL,0
4/05/2023,35,1,10,1.1,2.81,84,BrL,1
29/05/2023,35,1,10,1.1,3.45,89,BrL,2
22/06/2023,35,1,10,1.1,3.5,92,BrL,3
5/04/2023,36,1,10,1.1,0.434,49,BrR,0
7/05/2023,36,1,10,1.1,0.44,50,BrR,1
29/05/2023,36,1,10,1.1,0.79,58,BrR,2
5/04/2023,37,1,10,1.1,1.765,75,RL,0
4/05/2023,37,1,10,1.1,2.32,79,RL,1
29/05/2023,37,1,10,1.1,4.38,92,RL,2
