"Resp_Day","ID_fish","chamber_ch","Temp_class","RMR","RMR_var","RMR_perc","time_start","time_end","mass","length","volume_net","SMR","MMR","log_mass","Month","resid","SMR_mass","SMR_resid","RMR_mass","RMR_resid","MMR_mass","MMR_resid","Rack","Bin","TagID","Final_Mass_g","Final_Length_mm","Gonad_mass_g","Sex","Fat_mass_g","Ventricle_mass_g","Otolith_age_y","mass_prev","SGR","Period_start","Period_end","SMR_prev","SMR_mass_prev","RMR_prev","RMR_mass_prev","MMR_prev","MMR_mass_prev","Overall_SGR","SGR_predict","SGR_resid","time","Month_int","GutRatio_1","GutRatio_2"
1,81,"A2",18,0.303683772367882,0.0173088569075938,5.69963181523769,2023-04-27 17:17:00,2023-04-28 10:17:00,1.93,71,708.07,0.16053367491,0.862779192894936,0.285557309007774,"April",-0.0933673924266905,0.635997752081232,0.0798215576804786,0.802926098906894,0.0226665411113822,1.46668536645995,-0.0933673924266905,3,6,"YL",4.62,94,0.035,"F",0.315,"0.017",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.615828524,0.683274021
1,82,"B3",18,0.277036152626866,0.0216996740489596,7.83279504974443,2023-04-27 17:17:00,2023-04-28 10:17:00,0.74,60,709.26,0.145691604793333,0.498802068828324,-0.130768280269024,"April",-0.0580775602388351,0.66290207040654,0.0978153524611082,0.854532542016045,0.0497195723613061,1.59084105782508,-0.0580775602388351,3,6,"YR",3.65,86,0.022,"M",0.123,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.60815822,0.593150685
1,83,"B4",18,0.310870543023673,0.0150124005057213,4.82914860948345,2023-04-27 17:17:00,2023-04-28 10:17:00,1.43,72,708.57,0.184754234839556,0.994174746603876,0.155336037465062,"April",-0.224995245034265,0.57682083543267,0.0374069162441489,0.816088082738934,0.0297280022745618,1.08320113478365,-0.224995245034265,3,6,"BrL",2.638,84,0.018,"F",0.062,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.621818182,0.63490099
1,84,"B1",18,0.574179365060757,0.0374477015091699,6.52195181295087,2023-04-27 17:17:00,2023-04-28 10:17:00,2.1,76,707.9,0.309081210019072,1.03224417613351,0.322219294733919,"April",-0.0392594214805798,0.522653109311186,-0.00542048457006153,0.758117117131473,-0.00227273120515958,1.66128800701269,-0.0392594214805798,3,6,"BrR",6.33,98,0.039,"M",0.314,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.654662973,0.696597353
1,85,"A3",18,0.413574591757443,0.0159704698557758,3.86156939378479,2023-04-27 17:17:00,2023-04-28 10:17:00,1.75,75,708.25,0.28259298005858,0.93057243125778,0.243038048686294,"April",0.0547578864037668,0.561351166956499,0.0256006068421173,0.761482541826729,-0.000349082755521683,2.06282429532664,0.0547578864037668,3,6,"RL",5.187,100,0.052,"M",0.214,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.63449692,0.636826043
1,86,"A1",18,0.426922810090734,0.0312767304085733,7.32608557549924,2023-04-27 17:17:00,2023-04-28 10:17:00,0.78,59,709.22,0.204037053684108,0.757734580951049,-0.10790539730952,"April",0.0219486969447137,0.745260364721909,0.148674001737737,0.870518250545583,0.0577688469333806,1.9127272637981,0.0219486969447137,3,6,"RR",4.16,95,0.028,"I",0.091,"0.003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.646216769,0.688540646
1,87,"A4",18,0.615007050900519,0.0823108490553585,13.3837244524003,2023-04-27 17:17:00,2023-04-28 10:17:00,2.28,80,707.72,0.322333886346846,0.975183827522818,0.357934847000454,"April",0.0345306086807921,0.733225757927897,0.141603690182539,1.05091133074953,0.139557040888472,1.96895123467765,0.0345306086807921,3,6,"BL",3.78,90,0.362,"M",0.076,"0.004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.568134172,0.692556634
1,88,"B2",18,0.468177417670936,0.0559029018124419,11.9405378607419,2023-04-27 17:17:00,2023-04-28 10:17:00,2.18,76,707.82,0.25596901979259,0.992270620321999,0.338456493604605,"April",-0.0253488840779413,0.564366433842006,0.0279271528615365,0.694101478361974,-0.0405860642601339,1.71536074494603,-0.0253488840779413,3,6,"BR",3.575,89,0.033,"F",0.044,"0.004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.643459916,0.675296656
1,89,"D2",18,0.554009298568076,0.043031083529157,7.76721322916016,2023-04-27 17:17:00,2023-04-28 10:17:00,2.24,78,707.76,0.387332282771075,1.13739184727248,0.350248018334163,"April",-0.118417146824419,0.75053938755735,0.151739465550699,0.92164043800035,0.0825524879867951,1.38448165182161,-0.118417146824419,3,7,"YL",4.254,91,0.015,"F",0.15,"0.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.575481256,0.560619872
1,90,"C4",18,0.521670878481286,0.0427763899319689,8.19988074789637,2023-04-27 17:17:00,2023-04-28 10:17:00,1.23,64,708.77,0.275319496358984,0.969537694079751,0.0899051114393979,"April",0.0237008739505041,0.507400516491066,-0.0182831180060344,0.721583244519299,-0.0237225935224669,1.9204598202049,0.0237008739505041,3,7,"YR",5.381,98,0.093,"M",0.209,"0.002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,0,0.641418984,0.595049505
