DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
4cd7fd24-ce0b-4b93-9f96-161aa2037dfc,445504,S332 Rack 2 Temperature,19/12/2022 16:30,20.6,20.6° C,100,20.6,18,911279,FALSE,51,3.05
04b05764-e8bd-47ad-bc3c-4047d943eb52,445504,S332 Rack 2 Temperature,19/12/2022 16:20,20.8,20.8° C,100,20.8,18,911279,FALSE,54,3.04
c5041f51-ca8d-409c-b4a3-dead7c018153,445504,S332 Rack 2 Temperature,19/12/2022 16:10,21,21° C,100,21,18,911279,FALSE,57,3.05
b5562b4d-1a76-4ad8-a376-2d7bfabae12f,445504,S332 Rack 2 Temperature,19/12/2022 16:00,21.2,21.2° C,100,21.2,18,911279,FALSE,54,3.05
a1312bbd-afef-4758-bf8e-d9caa7554827,445504,S332 Rack 2 Temperature,19/12/2022 15:50,21.3,21.3° C,100,21.3,18,911279,FALSE,57,3.05
7df67443-e81b-42e0-b2b6-b8f3fb474c66,445504,S332 Rack 2 Temperature,19/12/2022 15:40,21.5,21.5° C,100,21.5,18,911279,FALSE,60,3.05
264f26fa-623d-433f-b2d4-733dcac2b07e,445504,S332 Rack 2 Temperature,19/12/2022 15:30,21.6,21.6° C,100,21.6,18,911279,FALSE,61,3.04
86b6e5f3-d019-4cf3-a3bc-9ed3e75dfb6f,445504,S332 Rack 2 Temperature,19/12/2022 15:20,21.6,21.6° C,100,21.6,18,911279,FALSE,57,3.05
91a14e24-1cb7-4a95-8b17-8590e1537d30,445504,S332 Rack 2 Temperature,19/12/2022 15:10,21.5,21.5° C,100,21.5,18,911279,FALSE,48,3.06
ea0afd90-9b51-406e-a3a8-b5f18845e67e,445504,S332 Rack 2 Temperature,19/12/2022 15:00,21.5,21.5° C,100,21.5,18,911279,FALSE,54,3.05
548d460c-b10e-41dc-9560-ee7a25f09aef,445504,S332 Rack 2 Temperature,19/12/2022 14:50,21.4,21.4° C,100,21.4,18,911279,FALSE,57,3.04
205ec9e8-4461-47c9-8ed0-fd23eb9dbe77,445504,S332 Rack 2 Temperature,19/12/2022 14:40,21.4,21.4° C,100,21.4,18,911279,FALSE,54,3.05
2f99ff24-bd19-48de-8679-4da431411ffe,445504,S332 Rack 2 Temperature,19/12/2022 14:30,21.3,21.3° C,100,21.3,18,911279,FALSE,54,3.05
4ad02da6-ced9-49d5-b620-1ed4b1a11c21,445504,S332 Rack 2 Temperature,19/12/2022 14:20,21.3,21.3° C,100,21.3,18,911279,FALSE,54,3.05
8c46bccf-3329-40c8-a080-6e341fa2dd92,445504,S332 Rack 2 Temperature,19/12/2022 14:10,21.2,21.2° C,100,21.2,18,911279,FALSE,51,3.04
fff914a5-47e4-4b40-b609-d72a0ac99ecc,445504,S332 Rack 2 Temperature,19/12/2022 14:00,21.2,21.2° C,100,21.2,18,911279,FALSE,51,3.04
7155b585-9dc8-4327-abaa-2980ec8a32f6,445504,S332 Rack 2 Temperature,19/12/2022 13:50,21.1,21.1° C,100,21.1,18,911279,FALSE,54,3.05
1ca4f1c9-1273-4a39-9e37-b1e48f231741,445504,S332 Rack 2 Temperature,19/12/2022 13:40,21,21° C,100,21,18,911279,FALSE,51,3.05
66140907-41e5-4f0e-b263-10b4039a5e86,445504,S332 Rack 2 Temperature,19/12/2022 13:30,20.9,20.9° C,100,20.9,18,911279,FALSE,51,3.06
054c86e2-f6c4-4dc2-8543-4ee10dd67990,445504,S332 Rack 2 Temperature,19/12/2022 13:20,20.9,20.9° C,100,20.9,18,911279,FALSE,51,3.05
4ee72fb9-e7da-45d2-bb9b-6148df4fc4d9,445504,S332 Rack 2 Temperature,19/12/2022 13:10,20.8,20.8° C,100,20.8,18,911279,FALSE,51,3.05
2f819b52-7f56-47ca-981a-4ac82d86b8e6,445504,S332 Rack 2 Temperature,19/12/2022 13:00,20.8,20.8° C,100,20.8,18,911279,FALSE,45,3.04
0e596ffc-0b69-463f-8a15-187668b3c8c7,445504,S332 Rack 2 Temperature,19/12/2022 12:50,20.7,20.7° C,100,20.7,18,911279,FALSE,51,3.05
06e75f20-43cb-420d-874d-6d0f851e2215,445504,S332 Rack 2 Temperature,19/12/2022 12:40,20.6,20.6° C,100,20.6,18,911279,FALSE,51,3.05
fb460065-6360-4015-9fec-566fed9882c6,445504,S332 Rack 2 Temperature,19/12/2022 12:30,20.6,20.6° C,100,20.6,18,911279,FALSE,51,3.05
8c0592f3-28ec-49a0-be48-9a8b17106295,445504,S332 Rack 2 Temperature,19/12/2022 12:20,20.6,20.6° C,100,20.6,18,911279,FALSE,57,3.05
074c839e-4149-4cd7-bf9c-e5bdafaa372a,445504,S332 Rack 2 Temperature,19/12/2022 12:10,20.5,20.5° C,100,20.5,18,911279,FALSE,0,3.04
cb99b4aa-1c2b-4deb-8f27-70324c5f9001,445504,S332 Rack 2 Temperature,19/12/2022 12:00,20.5,20.5° C,100,20.5,18,911279,FALSE,48,3.04
a9470de2-278c-4f12-b33e-4ae684de9654,445504,S332 Rack 2 Temperature,19/12/2022 11:50,20.5,20.5° C,100,20.5,18,911279,FALSE,48,3.04
349102f2-569b-40ae-9b86-c26dd7f12332,445504,S332 Rack 2 Temperature,19/12/2022 11:40,20.5,20.5° C,100,20.5,18,911279,FALSE,51,3.05
f24b9916-38f3-4fa9-89ef-82f0ac89be8f,445504,S332 Rack 2 Temperature,19/12/2022 11:30,20.5,20.5° C,100,20.5,18,911279,FALSE,57,3.04
13e26832-f0c3-48d4-8dd0-df0300386ff6,445504,S332 Rack 2 Temperature,19/12/2022 11:20,20.4,20.4° C,100,20.4,18,911279,FALSE,60,3.05
